Table name,Table schema,Object type,Owner,Owner type,Table space,Index table space,Long table space,Organization,Drop rule,Volatile,Row compression mode,Pages saved,Compress,Distribution type,Partition mode,Average row size,Status,Append on model,Row count,Create time,Last used,Altered,Statistic time,Pctfree,Data capture,Size of lock,Logged,Comments,Primary key,Temporal value
APOD_LISTA,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2020-03-11 05:09:26:569811,0001-01-01,2020-03-11 05:09:26:772882,,-1,NONE,ROW,NO,,"IFE_PASAPORTE,FECHA_APOD_LISTA_INICIO,FECHA_APOD_LISTA_FINAL",BITEMPORAL
COLEGIO,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,79,NORMAL,OFF,10,2020-03-11 05:09:24:905535,0001-01-01,2020-03-11 05:09:25:086692,2020-03-11 05:16:13:033383,-1,NONE,ROW,NO,,"ID_COLEGIO,FECHA_COLEGIO_INICIO,FECHA_COLEGIO_FINAL",BITEMPORAL
ELECCION,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,86,NORMAL,OFF,4,2020-03-11 05:09:24:600585,0001-01-01,2020-03-11 05:09:24:777432,2020-03-11 05:11:12:952129,-1,NONE,ROW,NO,,"ID_ELECCION,FECHA_ELECCION_INICIO,FECHA_ELECCION_FINAL",BITEMPORAL
HIST_APOD_LISTA,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2020-03-11 05:09:26:786461,0001-01-01,2020-03-11 05:09:26:786461,,-1,NONE,ROW,NO,,,HISTORY
HIST_COLEGIO,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2020-03-11 05:09:25:099592,0001-01-01,2020-03-11 05:09:25:099592,,-1,NONE,ROW,NO,,,HISTORY
HIST_ELECCION,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2020-03-11 05:09:24:791735,0001-01-01,2020-03-11 05:09:24:791735,,-1,NONE,ROW,NO,,,HISTORY
HIST_MESA,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2020-03-11 05:09:25:417902,0001-01-01,2020-03-11 05:09:25:417902,,-1,NONE,ROW,NO,,,HISTORY
HIST_PARTIDO,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2020-03-11 05:09:25:697915,0001-01-01,2020-03-11 05:09:25:697915,,-1,NONE,ROW,NO,,,HISTORY
HIST_VOTANTE,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2020-03-11 05:09:26:446585,0001-01-01,2020-03-11 05:09:26:446585,,-1,NONE,ROW,NO,,,HISTORY
MESA,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,70,NORMAL,OFF,25,2020-03-11 05:09:25:221491,0001-01-01,2020-03-11 05:09:25:408449,2020-03-11 05:16:13:052094,-1,NONE,ROW,NO,,"ID_MESA,FECHA_MESA_INICIO,FECHA_MESA_FINAL",BITEMPORAL
PARTIDO,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,108,NORMAL,OFF,6,2020-03-11 05:09:25:530946,0001-01-01,2020-03-11 05:09:25:687462,2020-03-11 05:16:13:072136,-1,NONE,ROW,NO,,"SIGLAS,FECHA_PARTIDO_INICIO,FECHA_PARTIDO_FINAL",BITEMPORAL
VOTANTE,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2020-03-11 05:09:26:236971,0001-01-01,2020-03-11 05:09:26:426558,,-1,NONE,ROW,NO,,"IFE_PASAPORTE,FECHA_VOTANTE_INICIO,FECHA_VOTANTE_FINAL",BITEMPORAL
V_FEDERAL,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2020-03-11 05:09:25:815254,0001-01-01,2020-03-11 05:09:26:012983,,-1,NONE,ROW,NO,,ID_V_FEDERAL,NO
V_MUNICIPAL,BXJ73519,TABLE,BXJ73519,USER,bxj73519space1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2020-03-11 05:09:26:023676,0001-01-01,2020-03-11 05:09:26:226908,,-1,NONE,ROW,NO,,ID_V_MUNICIPAL,NO
